No.,Nama,Lat,Long
1,RSUD Bhakti Dharma Husada,-7.255510746,112.6356197
2,RSUD dr. Mohamad Soewandhie,-7.245963774,112.7580037
3,RSUD dr. Soetomo,-7.268142537,112.7580663
4,RSAL dr. Ramelan,-7.309501726,112.7381339
5,RS Adi Husada Kapasari,-7.242584974,112.7520336
6,RS Adi Husada Undaan,-7.251560035,112.7458323
7,RS Al-Irsyad Surabaya,-7.227906101,112.7404196
8,RS Bhakti Rahayu,-7.311619869,112.7228978
9,RS Bhayangkara Samsoeri Mertoyoso,-7.324610804,112.7315392
10,RS Tk.III Brawijaya,-7.29694998,112.7233375
11,RS Bunda Surabaya,-7.251174788,112.6505566
12,RS Darmo,-7.287211791,112.7376064
13,RS dr. Oepomo,-7.211530894,112.7241389
14,RS Gotong Royong,-7.307640817,112.7877892
15,RS Haji Surabaya,-7.28314052,112.7796645
16,RS Husada Utama,-7.26507154,112.7561418
17,RS Islam Darus Syifa,-7.234724021,112.6128624
18,RS Islam Surabaya,-7.3061827,112.7350397
19,RS Islam Surabaya Jemursari,-7.322486414,112.7397992
20,RS Jiwa Menur,-7.28509421,112.7621299
21,RS Manyar Medical Centre,-7.289666,112.762997
22,RS Marinir Ewa Pangalila,-7.303735,112.708464
23,RS Masyarakat Jawa Timur,-7.325511,112.72562
24,RS Mata Undaan,-7.254258,112.743635
25,RS Mitra Keluarga Kenjeran,-7.251172747,112.7848814
26,RS Mitra Keluarga Pondok Tjandra,-7.344472985,112.7754055
27,RS Islam PKU Muhammadiyah Surabaya,-7.229721696,112.7412562
28,RS Muji Rahayu,-7.254413648,112.6703466
29,RS Nala Husada,-7.290988977,112.7951962
30,RS Nasional Surabaya,-7.299145587,112.6764499
31,RS Onkologi,-7.29066993,112.7894746
32,RS Orthopedi Traumatologi,-7.299601506,112.6623806
33,RS MItra Keluarga Satelit,-7.266656482,112.69156
34,RS Premier Surabaya,-7.30418993,112.7655816
35,RS Primasatya Husada Citra,-7.34724567,112.783099
36,RS Royal Surabaya,-7.328832582,112.7513054
37,RS Saint Vincentius Paulo,-7.290050378,112.7457257
38,RS Siloam Surabaya,-7.27383027,112.7467294
39,RS Soemitro Lanud,-7.289992322,112.7449547
40,RS Surabaya Medical Service,-7.288852792,112.7419037
41,RS UBAYA,-7.313707392,112.7657217
42,RS Universitas Airlangga,-7.26601744,112.7852323
43,RS Wijaya Surabaya,-7.308241322,112.6916887
44,RSIA Perdana Medica,-7.326560663,112.7431717
45,RSUD Rungkut Medokan Eka Candrarini,-7.323228833,112.784374
