,Nama,Lat,Long,Cluster
39,RS Surabaya Medical Service,-7.28885279214796,112.741903692199,0
38,RS Soemitro Lanud,-7.28999232163163,112.744954738619,0
18,RS Islam Surabaya Jemursari,-7.32248641398621,112.73979918231,0
17,RS Islam Surabaya,-7.30618269995399,112.735039668819,0
22,RS Masyarakat Jawa Timur,-7.325511,112.72562,0
36,RS Saint Vincentius Paulo,-7.2900503777303,112.745725701038,0
8,RS Bhayangkara Samsoeri Mertoyoso,-7.32461080368707,112.731539182814,0
11,RS Darmo,-7.28721179140007,112.73760635162,0
3,RSAL dr. Ramelan,-7.30950172638772,112.738133853978,0
37,RS Siloam Surabaya,-7.27383027036797,112.746729375006,0
6,RS Al-Irsyad Surabaya,-7.22790610057194,112.740419553978,1
5,RS Adi Husada Undaan,-7.25156003463104,112.7458323098,1
4,RS Adi Husada Kapasari,-7.24258497398091,112.752033553978,1
12,RS dr. Oepomo,-7.21153089373964,112.724138882309,1
15,RS Husada Utama,-7.26507153987746,112.756141811146,1
2,RSUD dr. Soetomo,-7.26814253696923,112.758066296307,1
1,RSUD dr. Mohamad Soewandhie,-7.24596377412945,112.758003746867,1
26,RS Islam PKU Muhammadiyah Surabaya,-7.22972169620676,112.741256166713,1
24,RS Mitra Keluarga Kenjeran,-7.25117274731254,112.784881405352,1
23,RS Mata Undaan,-7.254258,112.743635,1
32,RS MItra Keluarga Satelit,-7.26665648216566,112.691559959663,2
31,RS Orthopedi Traumatologi,-7.29960150638279,112.66238064432,2
29,RS Nasional Surabaya,-7.29914558733688,112.676449893704,2
27,RS Muji Rahayu,-7.25441364770407,112.670346641926,2
0,RSUD Bhakti Dharma Husada,-7.25551074597102,112.635619719875,2
16,RS Islam Darus Syifa,-7.23472402054405,112.612862368818,2
10,RS Bunda Surabaya,-7.25117478819224,112.650556605135,2
9,RS Tk.III Brawijaya,-7.29694997967847,112.72333746932,2
7,RS Bhakti Rahayu,-7.31161986878528,112.72289775213,2
21,RS Marinir Ewa Pangalila,-7.303735,112.708464,2
25,RS Mitra Keluarga Pondok Tjandra,-7.34447298455126,112.775405536035,3
20,RS Manyar Medical Centre,-7.289666,112.762997,3
28,RS Nala Husada,-7.29098897726244,112.795196220693,3
14,RS Haji Surabaya,-7.28314052031473,112.77966445914,3
30,RS Onkologi,-7.2906699296924,112.789474555962,3
13,RS Gotong Royong,-7.30764081703384,112.78778918231,3
33,RS Premier Surabaya,-7.30418993045711,112.765581593909,3
34,RS Primasatya Husada Citra,-7.34724566983873,112.783099035599,3
35,RS Royal Surabaya,-7.32883258224928,112.751305411102,3
19,RS Jiwa Menur,-7.28509421045736,112.762129909292,3
